n,images,h_max,h_mean,p_good,threshold,score_field
1,24,2.7916666666666665,2.7916666666666665,0.2916666666666667,4.0,humor
2,24,3.125,2.8125,0.5,4.0,humor
4,24,3.7083333333333335,2.84375,0.75,4.0,humor
8,24,3.9166666666666665,2.8177083333333335,0.9166666666666666,4.0,humor
16,24,3.9583333333333335,2.7526041666666665,0.9583333333333334,4.0,humor
32,24,3.9583333333333335,2.7760416666666665,0.9583333333333334,4.0,humor
