n,images,left_hmax,right_hmax,delta_hmax,delta_hmax_ci_low,delta_hmax_ci_high,delta_hmean,delta_hmean_ci_low,delta_hmean_ci_high,delta_pgood,delta_pgood_ci_low,delta_pgood_ci_high,left_hmax_win_rate,hmax_tie_rate
1,24,2.7916666666666665,2.5,0.2916666666666667,-0.125,0.75,0.2916666666666667,-0.125,0.75,0.25,0.041666666666666664,0.4583333333333333,0.375,0.3333333333333333
2,24,3.125,3.125,0.0,-0.2916666666666667,0.3333333333333333,0.14583333333333334,-0.10416666666666667,0.3958333333333333,0.08333333333333333,-0.125,0.2916666666666667,0.16666666666666666,0.5833333333333334
4,24,3.7083333333333335,3.625,0.08333333333333333,-0.25,0.4166666666666667,0.10416666666666667,-0.08333333333333333,0.28125,0.041666666666666664,-0.20833333333333334,0.2916666666666667,0.2916666666666667,0.5
8,24,3.9166666666666665,3.9166666666666665,0.0,-0.125,0.125,0.08333333333333333,-0.041666666666666664,0.21875,0.0,0.0,0.0,0.041666666666666664,0.9166666666666666
16,24,3.9583333333333335,4.041666666666667,-0.08333333333333333,-0.20833333333333334,0.0,0.044270833333333336,-0.041666666666666664,0.1328125,-0.041666666666666664,-0.125,0.0,0.0,0.9166666666666666
32,24,3.9583333333333335,4.041666666666667,-0.08333333333333333,-0.20833333333333334,0.0,0.053385416666666664,-0.032552083333333336,0.13932291666666666,-0.041666666666666664,-0.125,0.0,0.0,0.9166666666666666
