n,images,h_max,h_mean,p_good,threshold,score_field
1,24,2.5,2.5,0.041666666666666664,4.0,humor
2,24,3.125,2.6666666666666665,0.4166666666666667,4.0,humor
4,24,3.625,2.7395833333333335,0.7083333333333334,4.0,humor
8,24,3.9166666666666665,2.734375,0.9166666666666666,4.0,humor
16,24,4.041666666666667,2.7083333333333335,1.0,4.0,humor
32,24,4.041666666666667,2.72265625,1.0,4.0,humor
