layer,accuracy,macro_f1,macro_auroc,funny_vs_weak_accuracy,funny_vs_weak_f1,funny_vs_weak_auroc,train_examples,test_examples
early,0.7179487347602844,0.6795518207282912,0.8456607460975647,0.6153846383094788,0.59375,0.5769230723381042,120,39
middle,0.7179487347602844,0.7071172555043522,0.8639053106307983,0.5384615659713745,0.5272727272727272,0.5355029702186584,120,39
late,0.8205128312110901,0.8136200716845878,0.9072978496551514,0.6153846383094788,0.6060606060606062,0.6582840383052826,120,39
final,0.6666666865348816,0.6538658474142346,0.8323471347490946,0.5,0.48079877112135183,0.4467455595731735,120,39
